id,judul,foto,penerbit,isbn,tempat_terbit
,Ilmu komunikasi: teori dan praktik,,Remaja Rosdakarya,979-514-030-2,Bandung
,Kimia Perusahaan: metode kromotografi dan elektroforesis moderen,,Remaja Rosdakarya,979-692-593-1,Bandung
,Ilmu Administrasi dalam Pendekatan Hakikat Inti,,PT. Refika Aditama,978-602-7948-35-8,Bandung
,Personal SWOT Analisis: peluang dibalik setiap kesulitan,,Gramedia Pustaka Utama,978-602-03-1973-5,Jakarta
,Mantra Tolaki,,Kantor Bahasa Prov.Sul-eng,978-979-069-171-1,Kendari
,The Innovation Killer: batasan-batasan yang dapat kita bayangkan dan perusahaan cerdas mana yang menggunakannya,,Elex mediia komputindo,978-602-02-5349-7,Jakarta
,Manajamen Mutu Pelayanan Kesehatan,,EGC,978-979-044-594-9,Jakarta
,Elektronika: merencanakan dan merakit sendiri,,Angkasa,978-979-665-812-1,Bandung
,WWW Rahasia Membuat Wesite dengan Modal 200 Ribu,,Elex mediia komputindo,978-6002-04-1376-1,Jakarta
,Hukum Kerja: hukum ketenagakerjaan bidang hubungan kerja,,Rajawali Pers,978-979-769-143-1,Jakarta
,Kritik Sastra Feminis : Teori dan Aplikasinya,,Pustaka Pelejar,979-3237-16-3,Yogyakarta
,Agribisnis : Teori dan Aplikasinya,,Rajawali Press,979-421-277-6,Jakarta
,Pengantar Pendidikan : Sebuah Studi Awal Tentang Dasar-dasar Pendidikan pada Umumnya dan Pendidikan di Indonesia,,Rajawali Pers,979-421-845-6,Jakarta
,Buku Pintar Bisnis Pembenihan Ikan Konsumsi,,Gramedia Pustaka Utama,978-602-03-0674-2,Jakarta
,Pengantar Sistem Administrasi Pendidikan:teori dan praktik,,UII Press,978-602-6215-08-6,Yogyakarta
,Pokok-pokok Hukum Asuransi,,Pustaka Yustisia,978-979-341-178-1,Yogyakarta
,Biokimia: enzim dan metabolisme karbohidrat,,Andi,978-979-29-6652-7,Yogyakarta
,Geologi Moneral Logam,,Gadjah Mada University Press,979-429-654-7,Yogyakarta
,CSR Corporate Social Respobsibility=tanggungjawab sosial koeporasi,,Alfabeta,978-602-289-063-8,Bandung
,Strategi Belajar dan mengajar,,Jaya Ilmu,978-602-14207-1-3,Yogyakarta
,Micro Teaching di sertai dengan pedoman pengalaman lapangan,,Rajawali Press,978-979-719-291-9,Jakarta
,Seluk beluk Mesin Konversi Energi,,Javalitera,978-602-98190-7-6,Jogjakarta
,"Permasalahan Belajar dan Inovasi Pembelajaran: panduan untuk guru, konselor, psikolog, orang tua, dan tenaga kependidikan",,PT. Refika Aditama,978-602-8650-59-5,Bandung
,Statistik penelitian bidang pendidikan psikologi dan sosial,,parama Publishing,978-602-1547-84-7,Yogyakarta
,Sastra Ekologi: teori dan praktik pengkajian,,Caps,978-602-9324-79-2,Yogyakarta
,"Pembelajaran PAUD : Bermaian, Cerita, dan Menyayi SEcara Islami",,Remaja Rosdakarya,978-979-692-572-8,Bandung
,Metode dan Aneka Teknik Analisis Bahasa: pengantar penelitian eahana kebudayaan secara linguistik,,Universitas Sanata Darma,978-602-0830-13-1,Yogyakarta
,Jadi Kaya Cara China,,Bhuana Ilmu Populer,978-602-249-249-319-,Jakarta
,Kimia Komputasi untuk Farmasi dan Ilmu Terkait,,Pustaka Pelejar,978-602-229-192-3,Yogyakarta
,Analisis Obat Secara Spektrofotometri dan Kromatografi,,Pustaka Pelejar,978-602-229-085-8,Yogyakarta
,Lima Pilar Kedaulatan Pangan Nusantara,,Gadjah Mada University Press,978--979-420-977-6,Yogyakarta
,Biologi Sel ; untuk mahasiswa Pendidikan Biologi,,Universitas Muhammadiyah Malang,978-979-796-348-4,Malang
,Pintar Servis Mesin Diesel,,Pustaka Baru.,978-602-72076-3-9,Yogyakarta
,Strategi Belajar Mengajar : Strategi mewujudkan Pembelajaran Bermakna Melalui Penanaman Konsep Umum dan konsep Islami,,PT. Refika Aditama,979-1073-45-7,Bandung
,Ekonomi Migas : Tinjauan aspek komersial kontrak Migas,,Gramedia Wdiasarana Indonesia,978-979-081-881-1,Jakarta
,Pemberdayaan Masyarakat di Era Global,,Alfabeta,978-602-7825-42-0,Bandung
,Pengantar Hukum Acara Perdata dan Contoh Dokumentasi Legitasi,,Kencana,978-602-9413-72-4,Jakarta
,Desain dan Implementasi Riset Eksperimen,,UPP STIM YKPN,978-979-3532-58-5,Yogyakarta
,Studi Analisis Kebijakan,,Pustaka Setia,978-979-076-588-7,Bandung
,Panduan Praktis Mempelajari Aplikasi Mikrokontroler dan Pemrogramannya Menggunakan Arduino,,Andi,978-979-29-4017-6,Yogyakarta
,Ekonomi Indonesia Dalam Lintasan Sejarah,,Mizan pustaka,978-979-433-947-3,Bandung
,Hukum Perdata,,Pustaka Setia,978-979-076-492-7,Bandung
,Model Perencanaan Vegetasi Hutan Kota,,Andi,978-979-29-6334-2,Yogyakarta
,Budi daya dan bisnis kayu jati,,Penebar swadaya,978-979-002-663-6,Jakarta
,Sistem Informasi Akuntansi,,Salemba Empat,978-979-061-528-1,Jakarta
,Tafsir Gattolotjo dan Sakralitas Yoni,,Narasi,978-979-168-337-1,Yogyakarta
,Back to Nature: mendidik dan Mengasuh Anak Sejak Lahirhingga Usia Sekolah,,Andi,978-979-29-3879-1,Yogyakarta
,Buku Sakti Pemrograman Web Seri PHP,,Start UP,978-602-5907-63-0,Yogyakarta
,Daftar Tanda dan Gejala Ragam Penyakit,,Flashbooks,978-602-7641-66-2,Yogyakarta
,Pena Pustakawan: bunga rampai publikasi perpustakaan,,Yrama Widya,978-602-277-853-0,Bandung
,Media Komunikasi Pendidikan: pelayanan profesional pembelajaran dan mutu hasil belajar,,Bumi Aksara.,978-979-526-201-5,Jakarta
,Prinsip-prinsip Perumusan Kebijaksanaan Negara,,Bumi Aksara.,979-526-061-8,Jakarta
,Hukum Perjanjian: teori dan analisa kasus,,Kencana,979-3456-53-0,Jakarta
,Penemuan hukum sebuah pengantar,,Cahaya Atma Pustaka,978-602-7821-19-4,Yogyakarta
,Pengantar pendidikan,,Bumi Aksara.,978-602-217-499-8,Jakarta
,Metode Penelitian Kualitatif dalam Pendidikan dan Bimbingan Konselling: pendekatan praktis untuk peneliti....,,Rajawali Pers,978-979-769-432-6,Jakarta
,Hitung Sendiri Pendapatan Saya:catatan kritis seorang birokrat,,Kalika,978-979-9420-52-7,Yogyakarta
,Anatomi Fisiologi,,Pustaka Baru Press,978-602-6237-09-5,Yogyakarta
,Sistem Penjaminan Mutu Pendidikan: teori dan praktik,,Ar-Ruzz Media,978-602-313-106-8,Yogyakarta
,Pengolahan Kolagen dari Kulit Ikan Nila,,Penebar swadaya,978-979-002-670-4,Jakarta
,Konsep dan penerapan Ekonometrika Menggunakan e-views,,Rajawali Pers,978-602-425-036-2,Jakarta
,"Menulis Karya Ilmiah: artikel, skripsi, tesis dan disertasi",,Gramedia Pustaka Utama,979-686-553-x,Jakarta
,Psikologi Perkembangan,,Libri,978-979-689-964-9,Jakarta
,Kiat Sukses Bertanam Hidroponik untuk Pemula,,Trans Idea Publishing,978-602-0808-98-7,Yogyakarta
,Cara Cerdas Budidaya Jahe: panen maksimal,,Trans Idea,978-602-0808-99-4,Yogyakarta
,"Belajar dengan Pendekatan PAILKEM: pembelajaran aktif, inovatif, lingkungan kreatif, efektif, menarik",,Bumi Aksara.,978-602-217-127-0,Jakarta
,Metode Penelitian Kualitatif: pendekatan etnografi dan etnometodologi untuk Penelitian Ilmu-ilmu Sosial,,Ombak,978-6002-258-277-9,Yogyakarta
,Sistem Informasi Akademik Kampus Berbasis Web dengan PHP,,Lokomedia,978-979-1758-83-3,Yogyakarta
,Pengantar Bisnis: dalam perpspektif aktivitas dan Kelembagaan,,Alfabeta,978-602-289-164-2,Bandung
,Pengeringan Kayu Gergajian,,Mulawaran University Press,978-602-18615-9-2,Samarinda
,Kumpulan Surat Kontrak dan Pendirian Usaha Paling dicari,,Cemerlang Publishing,978-602-7624-37-5,S.L
,Filsafat Hukum: tema-tema fundamental keadilan dari sisi ajaran Fiat Justitia Ruat Caelum,,Pustaka Pelejar,978-602-229-525-9,Yogyakarta
,Asuha Kebidanan Masa Persalinan Fisiologi dan Patologis,,Binarupa Aksara,978-602-238-650-6,Tangerang Selatan
,"Libabelas Menit Lancar BerbahasaInggeris tentang Kegiatan Masa Lampau, sekaran dan yang akan datang",,Grasindo,978-602-251-238-7,Jakarta
,Sejarah Asia Tenggara,,Alfabeta,978-602-289-001-0,Bandung
,Ilmu Sosial Budaya Dasar untuk Perguruan Tinggi,,Alfabeta,978-602-289-038-6,Bandung
,Studi Kebujakan Pemerintah,,PT. Refika Aditama,978-602-8650-65-6,Bandung
,"PAS: Membuat Aplikasi Kreatif denga Visual Basic, Net 2013",,Andi,978-979-29-5119-6,Yogyakarta
,Akuntansi Keuangan Menengah,,Pustaka Setia,978-979-076-607-5,Bandung
,Penelitian Pendidikan Matematika: Pembelajaran dan Berbasis Riset,,Matematika,978-602-72846-1-6,Yogyakarta
,Keterampilan Dasar Kebidanan,,Pustaka Baru Press,978-979-268-235-9,Yogyakarta
,Mengolah Data Penelitian Kuantitatif dengan SPSS: Aplikasi data Pendidikan,,Alfabeta,978-602-289-183-3,Bandung
,Buku Ajar Parasitologi Kedokteran,,Badan Penerbit FKUI,978-979-456-573,Jakarta
,"Buku Ajr Ilmu Kesehatan Hidung, Tenggorok kepala dan leher",,Badan Penerbit FKUI,978-979-495-785-0,Jakarta
,Bulan,,Gramedia Pustaka Utama,978-602-03-1411-2,Jakarta
,Retirika Modern: pendekatan Praktis,,Remaja Rosdakarya,979-514-205-4,Bandung
,Analisis Statistik Mudah dengfan SPSS 2.0,,Elex mediia komputindo,978-602-00-2740-1,Jakarta
,Pengenalan HTML dan CSS,,Elex mediia komputindo,978-602-02-9693-7,Jakarta
,Sistem Bagi Hasil dan Pricing Bank Syar'iah,,UII Press,978-602-6215-00-0,Yogyakarta
,Penal Colony,,Forum Lenteng,978-602-71309-5-1,Jakarta
,Grand Illusion,,Forum Lenteng,978-602-71309-2-0,Jakarta
,Electrolar Risk,,Forum Lenteng,978-602-71309-0-6,Jakarta
,Politik Hukum Pengadaan Tanah antara Kepentingan Umum dan Perlindungan Hak Asasi Manusia,,PT. Refika Aditama,978-602-6322-20-3,Bandung
,Dialektika Posisi dan Peran Ketua RT,,Bimotry,978-602-8727-73-0,Yogyakarta
,Analisis Data pada Bidang Kesehatan,,Rajawali Pers,978-602-425-011-0,Jakarta
,Mewariskan Kota Layak Huni,,Gramedia Pustaka Utama,978-602-3917-7,Jakarta
,"Prosedur Pendarftaran Tanah: tentang hak milik, hak sewa guna, an hak guna bangunan",,Rineka Cipta,978-979-518-630-4,Jakarta
,Trik Kolaborasi Android dengan PHP dan Mysql,,Lokomedia,978-602-71905-9-7,Yogyakarta
,Great Cash Management Great Profit,,Elex mediia komputindo,978-602-0258-55-3,Jakarta
,Kreatif Gali Sumber Pajak tanpa Bebani Rakyat: hai para pejabat/PNS/Swasta berhentilah korupsi uang rakyat.....,,Elex mediia komputindo,978-979-27-9775-6,Jakarta
,Golden Age Parenting: memaksimalkan potensi anak usia di usia emas,,Psikologi Corner,978-602-1473-10-7,Yogyakarta
,Dasar-dasar Ilmu Penyakit Dalam,,Nuha Medika,978-602-6243-49-2,Yogyakarta
,Sukses Wawas Diri,,Gramedia Pustaka Utama,978-602-03-3028-0,Jakarta
,Penyususnan Laporan Pengembangan Diri dan Publikasi Ilmiah: Buku Pedoman Guru,,Pustaka Pelejar,978-602-229-665-2,Yogyakarta
,Kelayakan Ekonomi: Pendekatan Multidisiplin dan Studi Kasus,,Pustaka Pelejar,978-602-8055-95-6,Yogyakarta
,Paradiplomacy: Kerjasama Luar Negeri oleh Pemda di Indonesia,,The Phinisi Press,978-602-17651-3-5,Yogyakarta
,Perilaku Organisasi,,Gadjah Mada University Press,979-420-597-4,Yogyakarta
,Komunikasi Pembelajaran,,Remaja Rosdakarya,978-979-692-122-5,Bandung
,Ilmu Kepelatihan Dasar,,Alfabeta,978-602-289-155-0,Bandung
,Introduction to Bussiness,,Kp Book,978-602-17964-7-4,Samarinda
,Akuntansi keuangan lanjutan :perspektif indonesia,,Salemba Empat,97978-979-061-030-9,Jakarta
,"Proceeding International Conferenci on Food, agriculture and culinary Teorism",,PATPI Branch Kaltim,978-602-19230-8-5,Samarinda
,Segala Sesuatu yang Harus anda Ketahui tentang Diabets: panduan lengkap mengenal dan mengatasi diabet dengan cepat dan....,,Gramedia Pustaka Utama,978-602-03-3476-9,Jakarta
,Perilaku Konsumen: teori dan aplikasi,,Alfabeta,978-602-289-233-5,Bandung
,Fislafat dan Ilmu Pemerintahan,,Refika Aditama.,978-602-7948-61-7,Bandung
,Media Relation,,Graha ilmu,978-602-262-195-9,Yogyakarta
,Buku Pintar Akuntansi Biaya untuk Orang Awam,,HB,978-602-319-011-1,S.L
,Ilmu Komunikasi: Sebuah Pengantar Praktis,,Pustaka Baru Press,978-602-0874-93-7,Yogyakarta
,Evaluasi Kinerja Sumberdaya Manusia= SDM,,Gosyen,978-602-1107-89-8,Yogyakarta
,Desa Mandiri Listrik: potensi pengembangan energi listrik berbasis biomassa hutan,,Mulawarman Universty,978-602-6834-12-6,Samarinda
,Potensi Pemanfaatan Macaranga,,Mulawarman Universty,978-602-6834-33-1,Samarinda
,Kebijakan Sosial untuk Negara Berkembang,,Pustaka Pelajar.,978-602-229-350-7,Yogyakarta
,Pengembangan Kurikulum - dalam rangka implementasi standar proses pendidikan siswa,,Rineka Cipta,978-979-098-068-0,Jakarta
,Otodidak Desain dan Pemrograman Website,,Elex mediia komputindo,978-602-04-3382-0,Jakarta
,Rancangan Percoban: teori dan aplikasi,,Rajawali Pers,978-979-769-488-3,Jakarta
,Ekonomi Insani: kritik karl polangi terhadap sistem pasar bebas,,Marjin Kiri,978-979-1260-36-7,Tangerang Selatan
,Potensi Guru dan Kesehatan Mental,,Angkasa,978-979-665-719-3,Bandung
,Demokrasi di tangan Netizen,,Rmbooks,978-602-7936-62-1,Jakarta
,Belajar dan Pembelajan: teori dan praktik,,Ar-Ruzz Media,978-602-313-030-6,Yogyakarta
,Penelitian Tindakan Kelas,,Pustaka Setia,978-979-076-495-8,Bandung
,KApita Selekta Bimbingan dan Konseling,,Alfabeta,978-602-289-147-5,Bandung
,Revolusi Kinerja Kepala Sekolah,,Indeks,978-979-062-496-2,Jakarta
,Manajemen sumber daya manusia: mencipotakan keunggulan bersaing berbasis kompotensi SDM,,Andi,978-979-29-5536-1,Yogyakarta
,Biokimia klinis: teks bergambar,,EGC,978-979-044-201-4,Jakarta
,Dasar-dasar Akuntansi Berbasis Komputer,,Kanisius,978-979-21-3655-5,Yogyakarta
,Manajemen Pemasaran; teori dan aplikasi pemasaran era rttradisional sampai era modernisasi global,,Alfabeta,978-602-289-261-8,Bandung
,Perubahan Sosial: teori-teori dan proises perubahan sosial serta teori pembangunan,,Alfabeta,978-602-289-123-9-8,Bandung
,Character Building untuk Remaja,,Karisma,978-602-302-183-3,Tangerang Selatan
,Reformasi Kejaksaan dalam Sistem Hukum Nasional,,Sinar Grafika,978-979-007-728-7,Jakarta
,Fisafat Umum,,Rajawali Pers,978-979-421-447-3,Depok
,Kepemimpinan Kepala Sekolah dalam Organisasi Pembelajaran,,Alfabeta,978-602-8361-3-9,Bandung
,Kontekstualisasi Takaful dalam Asuransi Modern,,Sweet Mxwell asia,978-967-5040-47-4,Selangor
,Penerapan Hukum Dagang dan Keuangan Islam: isu-isu pilihan praktis kontemporer,,Sweet Mxwell asia,978-967-5040-28-3,Selangor
,Metode Penelitian Kualitatif: teori dan praktik,,Bumi Aksara.,978-602-217-284-0,Jakarta
,Sistem Informasi Manajemen: konsep dan praktis,,Alfabeta,978-979-8433-48-1,Bandung
,Mengenal Diabetes Mellitus pada ORang Dewasa dan Anak-anak denga Solusi Herbal,,Nuha Medika,978-602-9129-81-6,Yogyakarta
,Anastesia Lokal dalm Perawatan Konservasi Gigi,,EGC,978-979-044-418-8,Jakarta
,"Discourse and Knowledge"" a sociocognitive approach",,Cambridge University Press,1-107-41655-0,Cambridge
,Chek up Kepribadianmu,,Psikologi Corner,978-602-4673-08-4,Yogyakarta
,Sistem Informasi Kesehatan,,Parama Pubising,978-602-6243-11-9,Yogyakarta
,Manajamen Pelayanan Publik,,Rajawali Pers,978-602-425-080-5,Jakarta
,Dua Ratus Trik Pilihan Photoshop cs6,,Elex mediia komputindo,978-602-00-2987-0,Jakarta
,Panduan Praktis Budidaya Belimbing,,Literindo,978-602-98199-4-6,Yogyakarta
,Etika Pemerintahan di Indonesia,,Alfabeta,978-602-289-210-6,Bandung
,"Ki Hadjar Dewantara: pemikiran, konsepsi, keteladanan , sikap merdeka (kebudayaan)",,universitas Sarjana Wiyata Taman Siswa,978-602-17212-5-4,S.L
,Penilaian dalam Kurikulum 2013: Membantu Guru dan Calon Guru Mengetahui langklah-langkah Penilaian Pembelajaran,,Andi,978-979-29-4639-0,Yogyakarta
,Pengnatar Pendidikan Lingkungan Hidup,,Gava Media,978-602-7869-24-0,Yogyakarta
,Knowledge Management: Efektif berinovasi Meraih Sukses,,Prasetiya Mulya Publishin,978-602-1571-23-1,Jakarta
,Metode Pengembangan Bahasa: 1-12; PGTK 2203/4 SKS,,Universitas Terbuka,979-689-720-2,Jakarta
,Membuat Agar dari Rumput Laut= Gracialaria,,Penebar swadaya,978-979-002-573-8,Jakarta
,"Budidaya Jangkir untuk Pakan Burung Kicauan, semut rangrang, ikan hiar, dan umpan pancing",,Agromedia Pustaka,979-006-569-8,Jakarta
,Menulis Ilmiah Metodologi Penelitian Kualitatif,,Yayasan Pustaka obor indonesia,978-979-461-649-9,Jakarta
,Tes dan Pengukuran Olahraga,,Rajawali Pers,978-979-769-832-4,Jakarta
,Komunikasi Media dan Masyarakat: mebedah absurditas budaya Indonesia,,Remaja Rosdakarya,978-979-692-646-6,Bandung
,TOEFL Structure: Tips dan tricks,,Jogya Bangkit,978-602-9431-11-7,Yogyakarta
,Aplikasi Mode Self Care Orem dan Nic Noc pada Asuhan Keperawatan Pasien Penyakit Jantung,,Pustaka pelajar,978-602-229-657-7,Yogyakarta
,Organisasi dan Manajemen Pelayanan Kesehatan dalam Kebidanan,,Thema Publishing,978-602-73824-1-1,Yogyakarta
,Morfologi Bahasa Indonesia= pendekatan Proses,,Rineka Cipta,978-979-518-899-5,Jakarta
,"Perilaku Organisasi dan Kepemimpinan Pelayanan; konsep dan aplikasi administrasi, manajemen dan....",,Alfabeta,978-602-289-171-0,Bandung
,Reseaarch and Development-peneloitian dan pengembangan: suatu pengantar,,Rajawali Pers,978-979-769-394-7,Jakarta
,Bunga Rampai Hukum: suplemasi hukum-hak cipta-hukum right-integritas,,Jember Katamedia,978-602-52160-0-8,S.L
,Cara mudah Memahami Akuntansi Inti Sari Konsep dasar Akuntansi,,Kencana,978-979-3464-77-0,Jakarta
,Pelabuhan Perikanan,,IPB Press,978-979-493-378-7,Bogor
,Menjaring Mata Angin,,Maharsa,978-602-70861-5-9,Yogyakarta
,"Psikotes lengkap terkini : Tea bakat, tes Kemampuan dan tes mensa (IQ Kualifikasi Tinggi )",,Diva Press,978-979-963-548-8,Jogjakarta
,Yuk Nulis Puisi,,Laksana,978-602-407-331-2,Yogyakarta
,elenggu Merah Muda,,Gramedia Pustaka Utama,978-602-03-2980-2,Jakarta
,Mengapa banyak orang pandai tidak kritis,,Kalika,978-979-9420-38-1,Yogyakarta
,Ironi negara Kepulauan,,Elex Media Komputindo,978-602-026-750-0,Jakarta
,Dasar-dasar Evaluasi Pendidikan,,Bumi aksara,978-602-217-257-4,Jakarta
,um Brokem Wings,,Diva Press,978-602-255-256-7,Jogjakarta
,Milana : Perempuan menunggu Senja,,Gramedia Pustaka Utama,978-979-22-9507-8,Jakarta
,Vacabulation : Easy Way to Learn Vocabulary and Conversation,,Trans Idea Publishing,978-602-7996-75-5,Jogjakarta
,Langkah Mudah Penelitian Tindakan Kelas : Sebagai Pengembangan Profesi Guru,,Rajawali Press,978-979-769-187-5,Jakarta
,Kumpulan Metode Pembelajaran Kreatif dan Inovatif,,Satunusa,978-602-0507-38-3,Bandung
,Pengantar Ilmu Komunikasi,,Rajawali Press,978-979-769-468-5,Jakarta
,Belajar dan Pembelajaran,,Rineka Cipta,978-979-518-823-0,Jakarta
,Perbankan Syari'ah,,Kencana,978-602-8730-81-5,Jakarta
,Marketing Plan dalam Bisnis,,Elex mediia komputindo,978-602-04-3844-3,Jakarta
,Oase di tengah Kota: kota ekologis dan penyiapan RTH,,Gadjah Mada University Press,978-602-386-352-8,Yogyakarta
,Wirausaha Penggemukan Ternak Sapi Potong,,Lily publisher,978-979-29-4667-3,Yogyakarta
,Undang-Undang No 5 tahun 2014 Aparatur Sipil Negara Undang-undang no 13 Tahun 2003 ketenagakerjaan undang-undang no 24 tahun 2011 Badan penyelenggaraan Jaminan Sosial C BPJS ),,Jogja bangit,978-602-9431-51-3,Yogyakarta
,Asyiknya Bercocok Tanam Hidroponik Cara Sehat Menikmati,,Araska,978-602-300-155-2,Yogyakarta
,Panduan Praktis Keperawatan Maternitas,,Deepublish,978-602-401-445-2,Yogyakarta
,Trik Membuat Sofware Bot dengan Visual Basic. Net,,Andi,978-979-29-5305-3,Yogyakarta
,Menjadi Eksekutif manajemen SDM Profesional,,Andi,978-979-29-2368-1,Yogyakarta
,Produk Fermentasi Ikan,,Penebar swadaya,978-979-002-575-2,Depok
,Ekosistem : Buku pengayaan Biologi,,AZKA,978-602-352-023-7,solo
,Sejarah pemberontakan kerajaan Di jawa : dari Medang Hingga Pasca Mataram,,Araska,978-602-300-344-0,Yogyakarta
,Pengantar Pemrograman Matlab,,Elex mediia komputindo,978-602-04-4760-8,Jakarta
,Game Flash Kreatif Tanpa pengodean,,Elex Media Komputindo,978-602-02-9752-1,Jakarta
,Membangun WEB dengan Php dan Mysql untuk pemula dan Programmer,,Informaika,978-602-1514-62-7,Bandung
,Ekonomimetrika : Pengantar dan Aplikasinya Disertai panduan Eviews,,UPP STIM YKPN,978-979-3532-70-7,Yogyakarta
,Kupas Tuntas Penelitian Akuntansi dengan SPSS,,Pustaka Baru Press,978-602-376-041-4,Yogyakarta
,Pengantar Ekonomi Makro,,Salemba Empat,978-981-4384-85-8,Jakarta
,pengindraan jauh : Metode Analisis dan Interpretasi Citra Satelit,,Andi,978-979-29-5886-7,Yogyakarta
,Pengantar Ilmu Antropologi,,Rineka Cipta,978-979-518-966-4,Jakarta
,Buku Ajar Mikrobiologi Kedokteran,,Binarupa Aksara,979-583-424-x,Tangerang
,Akuntansi Sektor Publik: dari Anggaran Hingga Laporan Keuangan dari Pemerintah Hingga tempat Ibadah,,Salemba Empat,978-979-061-227-3,Jakarta
,"Kamus Kedokteran untuk Mahasiswa, Praktisi, Profesional dan Umum",,Oscar Publisher,978-602-8432-80-1,Jakarta
,Manajemen Keuangan Modern,,Mitra Wacana Media,978-602-1353-65-3,Jakarta
,Problematika Zakat Profesi dan Solusinya= sebuah tinjauan sosiologi hukum Islam,,Pustaka Pelejar,978-602-8764-82-7,Yogyakarta
,Pengantar hukum indonesia,,Sinar Grafika,9793421746,Jakarta
,Kangkung Hidroponik,,Penebar swadaya,978-979-002-724-4,Jakarta
,Tantangan Bimbingan dan Konseling di Era Globalisasi,,mozaik Indie Publisher,978-602-17723-5-50,Malang
,Ilmu Pendidikan,,Rineka Cipta,978-979-518-174-3,Jakarta
,Pengembangan Profesi pendidikan IPS,,Alfabeta,978-602-289-097-3,Bandung
,"Psikologi Perkembangan Peserta didik : Panduan Bagi Orang tua dan Guru dalam memahami Psikologi Anak Usia SD, SMP dan SMA",,Remaja Rosdakarya,979-692-950-3,Bandung
,Hubungan Internasional,,Salemba Empat,978-602-8555-34-0,Jakarta
,Aplikasi Matematika Ekonomi dan Bisnis,,Parama Pubising,978-602-6243-17-1,Yogyakarta
,Gizi Terapan,,Remaja Rosdakarya,978-979-692-127-0,Bandung
,dasar-dasar Mikrobiologi,,Yayasan Penerbit UI,979-8034-57-0,Jakarta
,Manajemen Pendidikan berbasis Sekolah,,Pustaka Setia,978-979-076-513-9,Bandung
,Visual Basic Database,,Elex mediia komputindo,978-602-02-4584-3,Jakarta
,Pengkajian Puisi : Analisis Strata norma dan Analisis Struktural dan semiotik,,Gadjah Mada University Press,979-420-948-1,Yogyakarta
,Autum Melody : Lagu Cinta tentang Musim Gugur,,Diva Press,978-602-255-287-1,Jogjakarta
,Dark Memories,,Grasindo,978-602-375-266-9,Jakarta
,Psikologi Abnormal,,Pustaka Pelejar,978-602-229-806-9,Yogyakarta
,Kimia Organologam,,Kalika,978-979-9420-43-5,Yogyakarta
,Mengolah data citra satelit Menggunakan Envi,,Andi,978-979-29-6055-6,Yogyakarta
,"Manajemen Pelayanan Publik : Peduli, Inklusit dan Kolaboratif",,Gadah Mada University Prss,978-420-775-6,Yogyakarta
,"Panemn Ikan mas 2,5 Bulan",,Penebar swadaya,978-979-002-409-0,Jakarta
,Manajemen Kinerja : teori dan Aplikasi,,Alfabeta,978-602-8800-50-1,Bandung
,Filsafat Hukum : perkembangan dan Dinamika masalah,,Refika Aditama.,979-1073-59-7,Bandung
,Pengantar Akuntansi Keuangan Daerah,,Ghalia Indonesia,978-979-450-698-1,Ghalia Indonesia
,Teladan dari Timur,,Pemerintah Provinsi Katim,978-979-19034-8-6,S.L
,pembelajaran tematik,,Rajawali Press,978-979-769-741-9,Jakarta
,Panduan anti gagal bertanam sayuran dan buah hidroponik,,Araska,978-602-300-409-6,Yogyakarta
,Metode Penelitian Kuantitatif Kualitatif dan R dan D,,Alfabeta,979-8433-64-0,Bandung
,Ilmu pendidikan,,Pustaka Setia,978-979-076-244-2,Bandung
,Pengelolaan Pendidikan : dari Teori menuju Implementasi,,Rajawali Press,978-979-769-869-0,Jakarta
,Gelombang,,Remaja Rosdakarya,978-979-692-126-3,Bandung
,dasar-dasar Ilmu Politik,,Gramedia Pustaka Utama,978-979-22-3494-7,Jakarta
,Inovasi Pembelajaran Berbasis like skill dan interpreneurship,,Ar-Ruzz Media,978-602-313-140-2,Yogyakarta
,"Adminstrasi Publik : Desentralisasi, Kelembagaan dan Aparatur Sipil negara",,Gadjah Mada University Press,978-979-420-968-4,Yogyakarta
,Pendidikan Pancasila,,Paradigma,978-979-8658-11-2,Yogyakarta
,Biografi Lengkap Karl Marx: pemikiran dan pengaruhnya,,Lobirin,978-602-6651-02-0,Yogyakarta
,Zakat dalam Perekonomian Moderen,,gema insani,979-561-748-6,Depok
,"Peralatan dan Keselamatan dalam Pekerjaan Dasar Otomotif ; menggunakan dan merawat Hands Tools/power tools/wrkshop equipment/special service Tools/alat ukur mekanik, elektrik dan elktronik...",,Pustaka Baru Press,978-602-0874-64-7,Yogyakarta
,Relasi Negara dan Msyarakat Adat: perebutan kuasa atas hak pengelolaan sumberdaya alam,,Surya pena gemilang,978-602-6854-07-0,Malang
,Sastra Lisan: kajian teori dan penerapannya dalam penelitian,,Madani,978-602-74184-4-8,Malang
,Kaya Raya dengan Bisnis Tour dan Travel,,Buku Pintar,978-602-8931-77-9,Yogyakarta
,Be A Network Marketing Leader= jadilah pemimpin bisnis MLM,,Menuju Insan Cemerlang,978-602-0956-62-6,Surabaya
,Ekonomi Islam Madzhab Hamfara,,Irtikaz,978-979-97939-4-4,S.L
,Pengelolaan Daerah Aliran Sungai,,Gadjah Mada University Press,979-420-866-3,Yogyakarta
,Memahami dan Mengembangkan Indingenous Psychology,,Pustaka Pelejar,978-602-229-814-4,Yogyakarta
,Teori-teori Hubungan Internasional,,Pustaka Pelejar,978-602-229-340-8,Yogyakarta
,Statistika Dasar,,BPFE,979-503-173-2,Yogyakarta
